permaticker,ticker,cik,effective_from,effective_to,research_sector,sector_etf,confidence,review_status,mapping_rationale,evidence,reviewer,review_date
194817,META,1326801,2018-10-01,,Communication Services,XLC,verified,approved,Facebook/Meta moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close). Corrected from 2018-06-19 per owner countersign 2 (ETF availability is not the classification date),GICS 2018 implementation schedule; XLC holdings,Jay Wang,2026-07-11
195146,GOOGL,1652044,2018-10-01,,Communication Services,XLC,verified,approved,Alphabet Class A moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),GICS 2018 implementation schedule; XLC holdings,Jay Wang,2026-07-11
119496,GOOG,1652044,2018-10-01,,Communication Services,XLC,verified,approved,Alphabet Class C moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),GICS 2018 implementation schedule; XLC holdings,Jay Wang,2026-07-11
193960,V,1403161,,2023-03-17,Information Technology,XLK,verified,approved,Visa - GICS Information Technology (data processing) through the 2023 revision,Owner countersign 2; GICS pre-2023 classification,Jay Wang,2026-07-11
193960,V,1403161,2023-03-20,,Financials,XLF,verified,approved,Visa - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Financials transaction processing,Owner countersign 2; GICS 2023 revision notes cite V/MA explicitly,Jay Wang,2026-07-11
195805,MA,1141391,,2023-03-17,Information Technology,XLK,verified,approved,Mastercard - GICS Information Technology through the 2023 revision,Owner countersign 2; GICS pre-2023 classification,Jay Wang,2026-07-11
195805,MA,1141391,2023-03-20,,Financials,XLF,verified,approved,Mastercard - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Financials transaction processing,Owner countersign 2; GICS 2023 revision notes cite V/MA explicitly,Jay Wang,2026-07-11
197197,DIS,1744489,,2018-09-28,Consumer Discretionary,XLY,verified,approved,Disney - Consumer Discretionary media pre-2018 restructure,Owner countersign 2,Jay Wang,2026-07-11
197197,DIS,1744489,2018-10-01,,Communication Services,XLC,verified,approved,Disney - media/entertainment moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),Owner countersign 2; DIS is an XLC constituent,Jay Wang,2026-07-11
199357,SHW,89800,2013-01-01,,Materials,XLB,verified,approved,Sherwin-Williams - GICS Materials (specialty chemicals) despite retail SIC 5231,Archived-history criterion closed: continuous GICS Materials (specialty chemicals) classification and uninterrupted XLB constituency across the research window; no reclassification event on record,Jay Wang,2026-07-11
199233,WMT,104169,2013-01-01,,Consumer Staples,XLP,verified,approved,Walmart - established Consumer Staples constituent,Archived-history criterion closed: GICS Consumer Staples (food & staples retailing) since sector inception; uninterrupted XLP constituency across the research window,Jay Wang,2026-07-11
197593,COST,909832,2013-01-01,,Consumer Staples,XLP,verified,approved,Costco - established Consumer Staples constituent,Archived-history criterion closed: GICS Consumer Staples since sector inception; uninterrupted XLP constituency across the research window,Jay Wang,2026-07-11
199795,TGT,27419,,2023-03-17,Consumer Discretionary,XLY,verified,approved,Target - Consumer Discretionary through the 2023 revision,Owner countersign 2; GICS 2023 revision cites TGT,Jay Wang,2026-07-11
199795,TGT,27419,2023-03-20,,Consumer Staples,XLP,verified,approved,Target - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Consumer Staples merchandise retail,Owner countersign 2,Jay Wang,2026-07-11
199781,DG,29534,,2023-03-17,Consumer Discretionary,XLY,verified,approved,Dollar General - historically Consumer Discretionary,Owner countersign 2,Jay Wang,2026-07-11
199781,DG,29534,2023-03-20,,Consumer Staples,XLP,verified,approved,Dollar General - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,Jay Wang,2026-07-11
197305,DLTR,935703,,2023-03-17,Consumer Discretionary,XLY,verified,approved,Dollar Tree - historically Consumer Discretionary,Owner countersign 2,Jay Wang,2026-07-11
197305,DLTR,935703,2023-03-20,,Consumer Staples,XLP,verified,approved,Dollar Tree - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,Jay Wang,2026-07-11
199122,DHR,313616,2013-01-01,,Health Care,XLV,verified,needs_revision,Danaher - SIC 3823 but currently GICS Health Care (life sciences tools); HOWEVER its pre-reclassification history (Industrials-era) is NOT independently verified offline - row EXCLUDED from coverage until the owner attaches archived classification evidence or amends effective_from to the verified reclassification date (owner rule: no automatic backfill),Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
199287,TMO,97745,2013-01-01,,Health Care,XLV,verified,approved,Thermo Fisher - SIC 3829 but GICS Health Care (life sciences tools); major XLV constituent,Archived-history criterion closed: GICS Health Care (life sciences tools & services) since at least the 2006 Fisher merger; uninterrupted XLV constituency across the research window,Jay Wang,2026-07-11
193213,TT,1466258,2020-03-02,,Industrials,XLI,verified,approved,Trane Technologies - SIC 3822 but GICS Industrials (building products); XLI constituent; effective from the 2020-03-02 Trane rename. Predecessor (Ingersoll-Rand era) months remain governed by the generic mapping/exclusion; extension is a future owner option with archived evidence,Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
124373,SNAP,1564408,2017-03-02,2018-09-28,Information Technology,XLK,verified,approved,Snap - internet software under GICS IT from its 2017-03-02 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
124373,SNAP,1564408,2018-10-01,,Communication Services,XLC,verified,approved,Snap - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
110959,PINS,1506293,2019-04-18,,Communication Services,XLC,verified,approved,Pinterest - interactive media = Communication Services from its 2019-04-18 IPO (post-restructure),Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
187959,TWTR,1418091,2013-11-07,2018-09-28,Information Technology,XLK,verified,approved,Twitter - internet software under GICS IT from its 2013-11-07 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
187959,TWTR,1418091,2018-10-01,2022-10-27,Communication Services,XLC,verified,approved,Twitter - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close); window ends at the 2022-10-27 delisting,Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
110958,ZM,1585521,2019-04-18,,Information Technology,XLK,verified,approved,Zoom - GICS Information Technology (application software) from its 2019-04-18 IPO; SIC 7370 LOW row cannot place it,Owner countersign 2 LOW recovery,Jay Wang,2026-07-11
195878,NOC,1133421,2013-01-01,,Industrials,XLI,verified,approved,"Northrop Grumman - aerospace & defense = Industrials; SIC 3812 is not sector-coherent (owner countersign 3), resolved by verified override",Uninterrupted GICS Industrials / XLI constituency,Jay Wang,2026-07-11
196736,RTN,1047122,2013-01-01,2020-04-02,Industrials,XLI,verified,approved,"Raytheon (legacy, pre-RTX merger; delisted 2020-04-02) - aerospace & defense = Industrials; verified override for the 3812 LOW row",Uninterrupted GICS Industrials through the 2020 merger,Jay Wang,2026-07-11
199181,LHX,202058,2013-01-01,,Industrials,XLI,verified,approved,L3Harris (incl. Harris predecessor ticker history via the crosswalk) - aerospace & defense = Industrials; verified override for the 3812 LOW row,Uninterrupted GICS Industrials / XLI constituency,Jay Wang,2026-07-11
