sic_start,sic_end,effective_from,effective_to,research_sector,sector_etf,mapping_rationale,mapping_confidence,mapping_specificity,review_status,reviewer,review_date,source_reference
0100,0999,,,Materials,XLB,Agriculture/forestry/fishing - closest SPDR proxy is Materials,LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
1000,1099,,,Materials,XLB,Metal mining - Materials (coal split out per owner countersign; 1100-1199 explicitly unmapped rather than absorbed),MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
1200,1299,,,Energy,XLE,Coal mining (SIC 1221 et al.) - GICS Coal & Consumable Fuels = Energy,HIGH,narrow_range,pending,,,Owner countersign review 2026-07-11
1300,1399,,,Energy,XLE,Oil and gas extraction and field services - Energy,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
1400,1499,,,Materials,XLB,Nonmetallic mineral mining - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
1500,1519,,,Industrials,XLI,General building contractors NEC - flagged for review at the impact report (mixed residential/nonresidential codes) per owner countersign,MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
1520,1539,,,Consumer Discretionary,XLY,Residential building contractors and operative builders (1520/1531 - DHI class) - GICS Homebuilding = Consumer Discretionary; XLY holdings verified,HIGH,narrow_range,pending,,,Owner countersign review 2026-07-11
1540,1799,,,Industrials,XLI,Industrial/commercial construction and special trade contractors - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2000,2199,,,Consumer Staples,XLP,Food beverage and tobacco manufacturing - Staples,HIGH,division_range,pending,,,SIC division structure + SPDR select-sector definitions
2200,2399,,,Consumer Discretionary,XLY,Textiles and apparel - Discretionary,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
2400,2499,,,Materials,XLB,Lumber and wood products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2500,2599,,,Consumer Discretionary,XLY,Furniture and fixtures - Discretionary (household durables); split from the overbroad 2400-2699 per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2600,2699,,,Materials,XLB,Paper and allied products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2700,2749,,2018-09-28,Consumer Discretionary,XLY,"Publishing/media (newspapers, periodicals, books) pre-2018 - Discretionary media",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2700,2749,2018-10-01,,Communication Services,XLC,Publishing/media post-GICS-2018 - Communication Services (classification effective 2018-10-01); MEDIUM per owner (subclasses remain mixed),MEDIUM,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01. ETF availability (XLC first usable return 2018-06-19) is a separate registered property
2750,2799,,,Industrials,XLI,Commercial printing and allied services - GICS Commercial Printing = Industrials (never moved to Communication Services) per owner countersign,MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
2800,2829,,,Materials,XLB,Industrial chemicals - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2830,2836,,,Health Care,XLV,Drugs pharma and biologicals - Health Care,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2840,2844,,,Consumer Staples,XLP,"Soap, detergents, cosmetics and toiletries - household & personal products = Consumer Staples (KVUE SIC 2844 verified in XLP holdings; fixes the confirmed pilot misclassification)",HIGH,narrow_range,pending,,,Owner review 2026-07-11: S&P classifies Kenvue as Consumer Staples; XLP holdings
2845,2899,,,Materials,XLB,"Paints, industrial organics, agricultural and misc chemicals - Materials (cosmetics 2840-2844 split out per owner review)",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2900,2999,,,Energy,XLE,Petroleum refining - Energy,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3000,3099,,,Materials,XLB,Rubber and plastic products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3100,3199,,,Consumer Discretionary,XLY,Leather and footwear - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3200,3299,,,Materials,XLB,Stone clay and glass - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3300,3399,,,Materials,XLB,Primary metal industries - Materials,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3400,3499,,,Industrials,XLI,Fabricated metal products - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3500,3569,,,Industrials,XLI,Industrial and commercial machinery - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3570,3579,,,Information Technology,XLK,Computer and office equipment - Technology,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3580,3599,,,Industrials,XLI,Refrigeration and service machinery - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3600,3629,,,Industrials,XLI,"Electrical equipment, motors and industrial apparatus - Industrials; split from the overbroad 3600-3699 per owner review",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3630,3639,,,Consumer Discretionary,XLY,Household appliances - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3640,3649,,,Industrials,XLI,Lighting and wiring equipment - likely Industrials per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3650,3659,,,Consumer Discretionary,XLY,Household audio/video and prerecorded media - consumer electronics = Discretionary; flagged for separate review per owner,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3660,3679,,,Information Technology,XLK,"Communications equipment, electronic components and semiconductors (3674) - Technology",HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3680,3699,,,Industrials,XLI,"Miscellaneous electrical equipment incl. magnetic media, batteries, x-ray apparatus - ambiguous across XLI/XLK/XLV; LOW = excluded pending security-level review per owner",LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3700,3710,,,Industrials,XLI,Transportation equipment NEC - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3711,3719,,,Consumer Discretionary,XLY,Motor vehicles and parts - Discretionary (GICS autos),HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3720,3749,,,Industrials,XLI,Aerospace rail and ship building - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3750,3759,,,Consumer Discretionary,XLY,Motorcycles and bicycles - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3760,3799,,,Industrials,XLI,Guided missiles space and defense - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3800,3811,,,Industrials,XLI,Instruments NEC - ambiguous residual; LOW = excluded pending security-level review,LOW,narrow_range,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3812,3812,,,Industrials,XLI,"Search/detection/navigation/aeronautical systems - NOT sector-coherent (NOC/RTN/LHX are XLI defense but GRMN is XLY consumer devices on the same code); LOW = excluded, resolved ONLY by verified security overrides",LOW,single_sic,pending,,,"Owner countersign 3 (final amendment set, 2026-07-11)"
3813,3825,,,Industrials,XLI,"Lab/industrial process instruments (3822/3823 span XLI and XLV issuers - DHR vs TT vs ROP on the same codes); LOW = excluded, resolved by verified security overrides only",LOW,narrow_range,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
